variant,variant_key,case_id,case_order,domain,scc_id,scc_size,scc_bin,template,invalid,root_at_3,risk_any,risk_all,risk_coverage,compression,core_size,result_file
No OC/core signal (replay),no-oc-core-signal,18_sec_ex2110_scc_7_direct_mutex,18,sec_ex21,scc_7,10,small (9-11),sec_direct_full_consolidation_vs_retained_interest_critical,False,True,True,False,0.5,0.5,5,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage2_core_replay_main40_20260711/results/18_sec_ex2110_scc_7_direct_mutex__no-oc-core-signal.json
No pair closure in final core (replay),no-pair-closure-final-core,18_sec_ex2110_scc_7_direct_mutex,18,sec_ex21,scc_7,10,small (9-11),sec_direct_full_consolidation_vs_retained_interest_critical,False,True,True,False,0.5,0.5,5,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage2_core_replay_main40_20260711/results/18_sec_ex2110_scc_7_direct_mutex__no-pair-closure-final-core.json
Full SA-MCGS (locked main),full-sa-mcgs-locked,19_bgb9_scc_7_direct_mutex,19,bgb,scc_7,9,small (9-11),bgb_direct_timely_cure_vs_extra_charge_critical,False,True,True,True,1.0,0.4444444444444444,5,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage2_core_replay_main40_20260711/results/19_bgb9_scc_7_direct_mutex__full-sa-mcgs-locked.json
Monotone core (replay),monotone-core,19_bgb9_scc_7_direct_mutex,19,bgb,scc_7,9,small (9-11),bgb_direct_timely_cure_vs_extra_charge_critical,False,True,True,False,0.5,0.6666666666666667,3,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage2_core_replay_main40_20260711/results/19_bgb9_scc_7_direct_mutex__monotone-core.json
No OC/core signal (replay),no-oc-core-signal,19_bgb9_scc_7_direct_mutex,19,bgb,scc_7,9,small (9-11),bgb_direct_timely_cure_vs_extra_charge_critical,False,True,True,True,1.0,0.4444444444444444,5,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage2_core_replay_main40_20260711/results/19_bgb9_scc_7_direct_mutex__no-oc-core-signal.json
No pair closure in final core (replay),no-pair-closure-final-core,19_bgb9_scc_7_direct_mutex,19,bgb,scc_7,9,small (9-11),bgb_direct_timely_cure_vs_extra_charge_critical,False,True,True,True,1.0,0.4444444444444444,5,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage2_core_replay_main40_20260711/results/19_bgb9_scc_7_direct_mutex__no-pair-closure-final-core.json
Full SA-MCGS (locked main),full-sa-mcgs-locked,20_sec_ex219_scc_5_direct_mutex,20,sec_ex21,scc_5,9,small (9-11),sec_direct_full_consolidation_vs_retained_interest_critical,False,True,True,True,1.0,0.4444444444444444,5,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage2_core_replay_main40_20260711/results/20_sec_ex219_scc_5_direct_mutex__full-sa-mcgs-locked.json
Monotone core (replay),monotone-core,20_sec_ex219_scc_5_direct_mutex,20,sec_ex21,scc_5,9,small (9-11),sec_direct_full_consolidation_vs_retained_interest_critical,False,True,True,True,1.0,0.7777777777777778,2,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage2_core_replay_main40_20260711/results/20_sec_ex219_scc_5_direct_mutex__monotone-core.json
No OC/core signal (replay),no-oc-core-signal,20_sec_ex219_scc_5_direct_mutex,20,sec_ex21,scc_5,9,small (9-11),sec_direct_full_consolidation_vs_retained_interest_critical,False,True,True,True,1.0,0.4444444444444444,5,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage2_core_replay_main40_20260711/results/20_sec_ex219_scc_5_direct_mutex__no-oc-core-signal.json
No pair closure in final core (replay),no-pair-closure-final-core,20_sec_ex219_scc_5_direct_mutex,20,sec_ex21,scc_5,9,small (9-11),sec_direct_full_consolidation_vs_retained_interest_critical,False,True,True,True,1.0,0.4444444444444444,5,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage2_core_replay_main40_20260711/results/20_sec_ex219_scc_5_direct_mutex__no-pair-closure-final-core.json
Full SA-MCGS (locked main),full-sa-mcgs-locked,21_cuad34_scc_11_condition_trigger,21,cuad,scc_11,34,large (20-34),cuad_condition_trigger_unconfirmed_exception_critical,False,True,True,True,1.0,0.5294117647058824,16,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage2_core_replay_main40_20260711/results/21_cuad34_scc_11_condition_trigger__full-sa-mcgs-locked.json
Monotone core (replay),monotone-core,21_cuad34_scc_11_condition_trigger,21,cuad,scc_11,34,large (20-34),cuad_condition_trigger_unconfirmed_exception_critical,False,True,True,False,0.5,0.7941176470588236,7,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage2_core_replay_main40_20260711/results/21_cuad34_scc_11_condition_trigger__monotone-core.json
No OC/core signal (replay),no-oc-core-signal,21_cuad34_scc_11_condition_trigger,21,cuad,scc_11,34,large (20-34),cuad_condition_trigger_unconfirmed_exception_critical,False,True,True,True,1.0,0.5294117647058824,16,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage2_core_replay_main40_20260711/results/21_cuad34_scc_11_condition_trigger__no-oc-core-signal.json
No pair closure in final core (replay),no-pair-closure-final-core,21_cuad34_scc_11_condition_trigger,21,cuad,scc_11,34,large (20-34),cuad_condition_trigger_unconfirmed_exception_critical,False,True,True,False,0.5,0.5588235294117647,15,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage2_core_replay_main40_20260711/results/21_cuad34_scc_11_condition_trigger__no-pair-closure-final-core.json
Full SA-MCGS (locked main),full-sa-mcgs-locked,22_cuad34_scc_11_handoff_invariant,22,cuad,scc_11,34,large (20-34),cuad_handoff_invariant_payment_status_critical,False,True,True,True,1.0,0.5294117647058824,16,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage2_core_replay_main40_20260711/results/22_cuad34_scc_11_handoff_invariant__full-sa-mcgs-locked.json
Monotone core (replay),monotone-core,22_cuad34_scc_11_handoff_invariant,22,cuad,scc_11,34,large (20-34),cuad_handoff_invariant_payment_status_critical,False,True,True,True,1.0,0.7647058823529411,8,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage2_core_replay_main40_20260711/results/22_cuad34_scc_11_handoff_invariant__monotone-core.json
No OC/core signal (replay),no-oc-core-signal,22_cuad34_scc_11_handoff_invariant,22,cuad,scc_11,34,large (20-34),cuad_handoff_invariant_payment_status_critical,False,True,True,True,1.0,0.5294117647058824,16,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage2_core_replay_main40_20260711/results/22_cuad34_scc_11_handoff_invariant__no-oc-core-signal.json
No pair closure in final core (replay),no-pair-closure-final-core,22_cuad34_scc_11_handoff_invariant,22,cuad,scc_11,34,large (20-34),cuad_handoff_invariant_payment_status_critical,False,True,True,True,1.0,0.5588235294117647,15,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage2_core_replay_main40_20260711/results/22_cuad34_scc_11_handoff_invariant__no-pair-closure-final-core.json
Full SA-MCGS (locked main),full-sa-mcgs-locked,23_cuad34_scc_11_temporal_gate,23,cuad,scc_11,34,large (20-34),cuad_temporal_notice_receipt_gate_critical,False,True,True,True,1.0,0.5294117647058824,16,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage2_core_replay_main40_20260711/results/23_cuad34_scc_11_temporal_gate__full-sa-mcgs-locked.json
Monotone core (replay),monotone-core,23_cuad34_scc_11_temporal_gate,23,cuad,scc_11,34,large (20-34),cuad_temporal_notice_receipt_gate_critical,False,True,True,False,0.5,0.6470588235294117,12,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage2_core_replay_main40_20260711/results/23_cuad34_scc_11_temporal_gate__monotone-core.json
No OC/core signal (replay),no-oc-core-signal,23_cuad34_scc_11_temporal_gate,23,cuad,scc_11,34,large (20-34),cuad_temporal_notice_receipt_gate_critical,False,True,True,True,1.0,0.5294117647058824,16,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage2_core_replay_main40_20260711/results/23_cuad34_scc_11_temporal_gate__no-oc-core-signal.json
No pair closure in final core (replay),no-pair-closure-final-core,23_cuad34_scc_11_temporal_gate,23,cuad,scc_11,34,large (20-34),cuad_temporal_notice_receipt_gate_critical,False,True,True,True,1.0,0.5294117647058824,16,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage2_core_replay_main40_20260711/results/23_cuad34_scc_11_temporal_gate__no-pair-closure-final-core.json
Full SA-MCGS (locked main),full-sa-mcgs-locked,24_cuad28_scc_39_condition_trigger,24,cuad,scc_39,28,large (20-34),cuad_condition_trigger_unconfirmed_exception_critical,False,False,True,False,0.5,0.5357142857142857,13,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage2_core_replay_main40_20260711/results/24_cuad28_scc_39_condition_trigger__full-sa-mcgs-locked.json
Monotone core (replay),monotone-core,24_cuad28_scc_39_condition_trigger,24,cuad,scc_39,28,large (20-34),cuad_condition_trigger_unconfirmed_exception_critical,False,False,True,False,0.5,0.8571428571428572,4,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage2_core_replay_main40_20260711/results/24_cuad28_scc_39_condition_trigger__monotone-core.json
No OC/core signal (replay),no-oc-core-signal,24_cuad28_scc_39_condition_trigger,24,cuad,scc_39,28,large (20-34),cuad_condition_trigger_unconfirmed_exception_critical,False,False,True,False,0.5,0.5357142857142857,13,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage2_core_replay_main40_20260711/results/24_cuad28_scc_39_condition_trigger__no-oc-core-signal.json
No pair closure in final core (replay),no-pair-closure-final-core,24_cuad28_scc_39_condition_trigger,24,cuad,scc_39,28,large (20-34),cuad_condition_trigger_unconfirmed_exception_critical,False,False,True,False,0.5,0.5357142857142857,13,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage2_core_replay_main40_20260711/results/24_cuad28_scc_39_condition_trigger__no-pair-closure-final-core.json
Full SA-MCGS (locked main),full-sa-mcgs-locked,25_cuad28_scc_39_handoff_invariant,25,cuad,scc_39,28,large (20-34),cuad_handoff_invariant_payment_status_critical,False,True,True,True,1.0,0.5357142857142857,13,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage2_core_replay_main40_20260711/results/25_cuad28_scc_39_handoff_invariant__full-sa-mcgs-locked.json
Monotone core (replay),monotone-core,25_cuad28_scc_39_handoff_invariant,25,cuad,scc_39,28,large (20-34),cuad_handoff_invariant_payment_status_critical,False,True,True,False,0.5,0.8214285714285714,5,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage2_core_replay_main40_20260711/results/25_cuad28_scc_39_handoff_invariant__monotone-core.json
No OC/core signal (replay),no-oc-core-signal,25_cuad28_scc_39_handoff_invariant,25,cuad,scc_39,28,large (20-34),cuad_handoff_invariant_payment_status_critical,False,True,True,True,1.0,0.5357142857142857,13,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage2_core_replay_main40_20260711/results/25_cuad28_scc_39_handoff_invariant__no-oc-core-signal.json
No pair closure in final core (replay),no-pair-closure-final-core,25_cuad28_scc_39_handoff_invariant,25,cuad,scc_39,28,large (20-34),cuad_handoff_invariant_payment_status_critical,False,True,True,True,1.0,0.5357142857142857,13,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage2_core_replay_main40_20260711/results/25_cuad28_scc_39_handoff_invariant__no-pair-closure-final-core.json
Full SA-MCGS (locked main),full-sa-mcgs-locked,26_cuad28_scc_39_temporal_gate,26,cuad,scc_39,28,large (20-34),cuad_temporal_notice_receipt_gate_critical,False,False,True,False,0.5,0.5357142857142857,13,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage2_core_replay_main40_20260711/results/26_cuad28_scc_39_temporal_gate__full-sa-mcgs-locked.json
Monotone core (replay),monotone-core,26_cuad28_scc_39_temporal_gate,26,cuad,scc_39,28,large (20-34),cuad_temporal_notice_receipt_gate_critical,False,False,True,False,0.5,0.8928571428571429,3,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage2_core_replay_main40_20260711/results/26_cuad28_scc_39_temporal_gate__monotone-core.json
No OC/core signal (replay),no-oc-core-signal,26_cuad28_scc_39_temporal_gate,26,cuad,scc_39,28,large (20-34),cuad_temporal_notice_receipt_gate_critical,False,False,True,False,0.5,0.5357142857142857,13,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage2_core_replay_main40_20260711/results/26_cuad28_scc_39_temporal_gate__no-oc-core-signal.json
No pair closure in final core (replay),no-pair-closure-final-core,26_cuad28_scc_39_temporal_gate,26,cuad,scc_39,28,large (20-34),cuad_temporal_notice_receipt_gate_critical,False,False,True,False,0.5,0.5357142857142857,13,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage2_core_replay_main40_20260711/results/26_cuad28_scc_39_temporal_gate__no-pair-closure-final-core.json
Full SA-MCGS (locked main),full-sa-mcgs-locked,27_bgb25_scc_3_condition_trigger,27,bgb,scc_3,25,large (20-34),bgb_condition_trigger_pending_notice_critical,False,False,True,False,0.5,0.52,12,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage2_core_replay_main40_20260711/results/27_bgb25_scc_3_condition_trigger__full-sa-mcgs-locked.json
Monotone core (replay),monotone-core,27_bgb25_scc_3_condition_trigger,27,bgb,scc_3,25,large (20-34),bgb_condition_trigger_pending_notice_critical,False,False,True,True,1.0,0.76,6,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage2_core_replay_main40_20260711/results/27_bgb25_scc_3_condition_trigger__monotone-core.json
No OC/core signal (replay),no-oc-core-signal,27_bgb25_scc_3_condition_trigger,27,bgb,scc_3,25,large (20-34),bgb_condition_trigger_pending_notice_critical,False,False,True,False,0.5,0.52,12,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage2_core_replay_main40_20260711/results/27_bgb25_scc_3_condition_trigger__no-oc-core-signal.json
No pair closure in final core (replay),no-pair-closure-final-core,27_bgb25_scc_3_condition_trigger,27,bgb,scc_3,25,large (20-34),bgb_condition_trigger_pending_notice_critical,False,False,True,False,0.5,0.52,12,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage2_core_replay_main40_20260711/results/27_bgb25_scc_3_condition_trigger__no-pair-closure-final-core.json
Full SA-MCGS (locked main),full-sa-mcgs-locked,28_bgb25_scc_3_handoff_invariant,28,bgb,scc_3,25,large (20-34),bgb_handoff_invariant_cure_class_critical,False,True,True,False,0.5,0.52,12,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage2_core_replay_main40_20260711/results/28_bgb25_scc_3_handoff_invariant__full-sa-mcgs-locked.json
Monotone core (replay),monotone-core,28_bgb25_scc_3_handoff_invariant,28,bgb,scc_3,25,large (20-34),bgb_handoff_invariant_cure_class_critical,False,True,True,True,1.0,0.6,10,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage2_core_replay_main40_20260711/results/28_bgb25_scc_3_handoff_invariant__monotone-core.json
No OC/core signal (replay),no-oc-core-signal,28_bgb25_scc_3_handoff_invariant,28,bgb,scc_3,25,large (20-34),bgb_handoff_invariant_cure_class_critical,False,True,True,False,0.5,0.52,12,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage2_core_replay_main40_20260711/results/28_bgb25_scc_3_handoff_invariant__no-oc-core-signal.json
No pair closure in final core (replay),no-pair-closure-final-core,28_bgb25_scc_3_handoff_invariant,28,bgb,scc_3,25,large (20-34),bgb_handoff_invariant_cure_class_critical,False,True,True,False,0.5,0.52,12,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage2_core_replay_main40_20260711/results/28_bgb25_scc_3_handoff_invariant__no-pair-closure-final-core.json
Full SA-MCGS (locked main),full-sa-mcgs-locked,29_bgb25_scc_3_temporal_gate,29,bgb,scc_3,25,large (20-34),bgb_temporal_grace_period_gate_critical,False,False,True,False,0.5,0.52,12,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage2_core_replay_main40_20260711/results/29_bgb25_scc_3_temporal_gate__full-sa-mcgs-locked.json
Monotone core (replay),monotone-core,29_bgb25_scc_3_temporal_gate,29,bgb,scc_3,25,large (20-34),bgb_temporal_grace_period_gate_critical,False,False,True,False,0.5,0.88,3,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage2_core_replay_main40_20260711/results/29_bgb25_scc_3_temporal_gate__monotone-core.json
No OC/core signal (replay),no-oc-core-signal,29_bgb25_scc_3_temporal_gate,29,bgb,scc_3,25,large (20-34),bgb_temporal_grace_period_gate_critical,False,False,True,False,0.5,0.52,12,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage2_core_replay_main40_20260711/results/29_bgb25_scc_3_temporal_gate__no-oc-core-signal.json
No pair closure in final core (replay),no-pair-closure-final-core,29_bgb25_scc_3_temporal_gate,29,bgb,scc_3,25,large (20-34),bgb_temporal_grace_period_gate_critical,False,False,True,False,0.5,0.52,12,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage2_core_replay_main40_20260711/results/29_bgb25_scc_3_temporal_gate__no-pair-closure-final-core.json
Full SA-MCGS (locked main),full-sa-mcgs-locked,30_cuad25_scc_17_condition_trigger,30,cuad,scc_17,25,large (20-34),cuad_condition_trigger_unconfirmed_exception_critical,False,True,True,True,1.0,0.52,12,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage2_core_replay_main40_20260711/results/30_cuad25_scc_17_condition_trigger__full-sa-mcgs-locked.json
Monotone core (replay),monotone-core,30_cuad25_scc_17_condition_trigger,30,cuad,scc_17,25,large (20-34),cuad_condition_trigger_unconfirmed_exception_critical,False,True,True,True,1.0,0.8,5,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage2_core_replay_main40_20260711/results/30_cuad25_scc_17_condition_trigger__monotone-core.json
No OC/core signal (replay),no-oc-core-signal,30_cuad25_scc_17_condition_trigger,30,cuad,scc_17,25,large (20-34),cuad_condition_trigger_unconfirmed_exception_critical,False,True,True,True,1.0,0.52,12,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage2_core_replay_main40_20260711/results/30_cuad25_scc_17_condition_trigger__no-oc-core-signal.json
No pair closure in final core (replay),no-pair-closure-final-core,30_cuad25_scc_17_condition_trigger,30,cuad,scc_17,25,large (20-34),cuad_condition_trigger_unconfirmed_exception_critical,False,True,True,True,1.0,0.52,12,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage2_core_replay_main40_20260711/results/30_cuad25_scc_17_condition_trigger__no-pair-closure-final-core.json
Full SA-MCGS (locked main),full-sa-mcgs-locked,31_cuad25_scc_17_handoff_invariant,31,cuad,scc_17,25,large (20-34),cuad_handoff_invariant_payment_status_critical,False,True,True,True,1.0,0.52,12,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage2_core_replay_main40_20260711/results/31_cuad25_scc_17_handoff_invariant__full-sa-mcgs-locked.json
Monotone core (replay),monotone-core,31_cuad25_scc_17_handoff_invariant,31,cuad,scc_17,25,large (20-34),cuad_handoff_invariant_payment_status_critical,False,True,True,True,1.0,0.84,4,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage2_core_replay_main40_20260711/results/31_cuad25_scc_17_handoff_invariant__monotone-core.json
No OC/core signal (replay),no-oc-core-signal,31_cuad25_scc_17_handoff_invariant,31,cuad,scc_17,25,large (20-34),cuad_handoff_invariant_payment_status_critical,False,True,True,True,1.0,0.52,12,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage2_core_replay_main40_20260711/results/31_cuad25_scc_17_handoff_invariant__no-oc-core-signal.json
No pair closure in final core (replay),no-pair-closure-final-core,31_cuad25_scc_17_handoff_invariant,31,cuad,scc_17,25,large (20-34),cuad_handoff_invariant_payment_status_critical,False,True,True,True,1.0,0.52,12,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage2_core_replay_main40_20260711/results/31_cuad25_scc_17_handoff_invariant__no-pair-closure-final-core.json
Full SA-MCGS (locked main),full-sa-mcgs-locked,32_cuad25_scc_17_temporal_gate,32,cuad,scc_17,25,large (20-34),cuad_temporal_notice_receipt_gate_critical,False,True,True,True,1.0,0.52,12,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage2_core_replay_main40_20260711/results/32_cuad25_scc_17_temporal_gate__full-sa-mcgs-locked.json
Monotone core (replay),monotone-core,32_cuad25_scc_17_temporal_gate,32,cuad,scc_17,25,large (20-34),cuad_temporal_notice_receipt_gate_critical,False,True,True,True,1.0,0.88,3,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage2_core_replay_main40_20260711/results/32_cuad25_scc_17_temporal_gate__monotone-core.json
No OC/core signal (replay),no-oc-core-signal,32_cuad25_scc_17_temporal_gate,32,cuad,scc_17,25,large (20-34),cuad_temporal_notice_receipt_gate_critical,False,True,True,True,1.0,0.52,12,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage2_core_replay_main40_20260711/results/32_cuad25_scc_17_temporal_gate__no-oc-core-signal.json
No pair closure in final core (replay),no-pair-closure-final-core,32_cuad25_scc_17_temporal_gate,32,cuad,scc_17,25,large (20-34),cuad_temporal_notice_receipt_gate_critical,False,True,True,True,1.0,0.52,12,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage2_core_replay_main40_20260711/results/32_cuad25_scc_17_temporal_gate__no-pair-closure-final-core.json
Full SA-MCGS (locked main),full-sa-mcgs-locked,33_cuad24_scc_21_condition_trigger,33,cuad,scc_21,24,large (20-34),cuad_condition_trigger_unconfirmed_exception_critical,False,True,True,True,1.0,0.5416666666666667,11,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage2_core_replay_main40_20260711/results/33_cuad24_scc_21_condition_trigger__full-sa-mcgs-locked.json
Monotone core (replay),monotone-core,33_cuad24_scc_21_condition_trigger,33,cuad,scc_21,24,large (20-34),cuad_condition_trigger_unconfirmed_exception_critical,False,True,True,False,0.5,0.875,3,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage2_core_replay_main40_20260711/results/33_cuad24_scc_21_condition_trigger__monotone-core.json
No OC/core signal (replay),no-oc-core-signal,33_cuad24_scc_21_condition_trigger,33,cuad,scc_21,24,large (20-34),cuad_condition_trigger_unconfirmed_exception_critical,False,True,True,True,1.0,0.5416666666666667,11,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage2_core_replay_main40_20260711/results/33_cuad24_scc_21_condition_trigger__no-oc-core-signal.json
No pair closure in final core (replay),no-pair-closure-final-core,33_cuad24_scc_21_condition_trigger,33,cuad,scc_21,24,large (20-34),cuad_condition_trigger_unconfirmed_exception_critical,False,True,True,True,1.0,0.5416666666666667,11,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage2_core_replay_main40_20260711/results/33_cuad24_scc_21_condition_trigger__no-pair-closure-final-core.json
Full SA-MCGS (locked main),full-sa-mcgs-locked,34_cuad24_scc_21_handoff_invariant,34,cuad,scc_21,24,large (20-34),cuad_handoff_invariant_payment_status_critical,False,True,True,True,1.0,0.5416666666666667,11,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage2_core_replay_main40_20260711/results/34_cuad24_scc_21_handoff_invariant__full-sa-mcgs-locked.json
Monotone core (replay),monotone-core,34_cuad24_scc_21_handoff_invariant,34,cuad,scc_21,24,large (20-34),cuad_handoff_invariant_payment_status_critical,False,True,True,True,1.0,0.7083333333333333,7,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage2_core_replay_main40_20260711/results/34_cuad24_scc_21_handoff_invariant__monotone-core.json
No OC/core signal (replay),no-oc-core-signal,34_cuad24_scc_21_handoff_invariant,34,cuad,scc_21,24,large (20-34),cuad_handoff_invariant_payment_status_critical,False,True,True,True,1.0,0.5416666666666667,11,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage2_core_replay_main40_20260711/results/34_cuad24_scc_21_handoff_invariant__no-oc-core-signal.json
No pair closure in final core (replay),no-pair-closure-final-core,34_cuad24_scc_21_handoff_invariant,34,cuad,scc_21,24,large (20-34),cuad_handoff_invariant_payment_status_critical,False,True,True,True,1.0,0.5416666666666667,11,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage2_core_replay_main40_20260711/results/34_cuad24_scc_21_handoff_invariant__no-pair-closure-final-core.json
Full SA-MCGS (locked main),full-sa-mcgs-locked,35_cuad24_scc_21_temporal_gate,35,cuad,scc_21,24,large (20-34),cuad_temporal_notice_receipt_gate_critical,False,True,True,False,0.5,0.5416666666666667,11,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage2_core_replay_main40_20260711/results/35_cuad24_scc_21_temporal_gate__full-sa-mcgs-locked.json
Monotone core (replay),monotone-core,35_cuad24_scc_21_temporal_gate,35,cuad,scc_21,24,large (20-34),cuad_temporal_notice_receipt_gate_critical,False,True,True,False,0.5,0.6666666666666667,8,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage2_core_replay_main40_20260711/results/35_cuad24_scc_21_temporal_gate__monotone-core.json
No OC/core signal (replay),no-oc-core-signal,35_cuad24_scc_21_temporal_gate,35,cuad,scc_21,24,large (20-34),cuad_temporal_notice_receipt_gate_critical,False,True,True,False,0.5,0.5416666666666667,11,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage2_core_replay_main40_20260711/results/35_cuad24_scc_21_temporal_gate__no-oc-core-signal.json
No pair closure in final core (replay),no-pair-closure-final-core,35_cuad24_scc_21_temporal_gate,35,cuad,scc_21,24,large (20-34),cuad_temporal_notice_receipt_gate_critical,False,True,True,False,0.5,0.5416666666666667,11,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/component_ablation_runs/stage2_core_replay_main40_20260711/results/35_cuad24_scc_21_temporal_gate__no-pair-closure-final-core.json
