method,scale,case_id,domain,scc_size,case_concurrency,internal_concurrency,llm_calls,recorded_api_calls,prompt_tokens,completion_tokens,total_tokens,runtime_sec,invalid_output,root_at_3,risk_any,risk_all,compression,result_file
GraphRAG-style LEA,small,28_sec_ex2118_scc_7_temporal_gate,sec_ex21,11,1,1,11,11,8566,7632,16198,65.11047410964966,False,True,True,True,0.5454545454545454,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/cost_audit_runs/clean_40case_gpt4o_b50_20260712/results/28_sec_ex2118_scc_7_temporal_gate__lea.json
"Full-SCC Naive, single attempt",small,28_sec_ex2118_scc_7_temporal_gate,sec_ex21,11,1,1,1,1,1785,1803,3588,8.98370885848999,False,False,True,False,0.6363636363636364,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/cost_audit_runs/clean_40case_gpt4o_b50_20260712/results/28_sec_ex2118_scc_7_temporal_gate__naive-single.json
SA-MCGS,small,28_sec_ex2118_scc_7_temporal_gate,sec_ex21,11,1,1,44,44,35038,29705,64743,248.53690791130066,False,True,True,True,0.5454545454545454,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/cost_audit_runs/clean_40case_gpt4o_b50_20260712/results/28_sec_ex2118_scc_7_temporal_gate__sa-mcgs.json
GraphRAG-style LEA,medium,29_cuad17_scc_0_condition_trigger,cuad,17,1,1,17,17,40287,25663,65950,157.087965965271,False,False,True,False,0.5294117647058824,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/cost_audit_runs/clean_40case_gpt4o_b50_20260712/results/29_cuad17_scc_0_condition_trigger__lea.json
naive-single,medium,29_cuad17_scc_0_condition_trigger,cuad,17,1,1,,1,21587,4913,26500,,True,,,,,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/cost_audit_runs/clean_40case_gpt4o_b50_20260712/results/29_cuad17_scc_0_condition_trigger__naive-single.json
SA-MCGS,medium,29_cuad17_scc_0_condition_trigger,cuad,17,1,1,50,50,114084,80384,194468,466.24437499046326,False,True,True,False,0.5294117647058824,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/cost_audit_runs/clean_40case_gpt4o_b50_20260712/results/29_cuad17_scc_0_condition_trigger__sa-mcgs.json
GraphRAG-style LEA,medium,30_cuad16_scc_23_handoff_invariant,cuad,16,1,1,15,16,43764,27732,71496,151.48186087608337,False,True,True,True,0.5,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/cost_audit_runs/clean_40case_gpt4o_b50_20260712/results/30_cuad16_scc_23_handoff_invariant__lea.json
"Full-SCC Naive, single attempt",medium,30_cuad16_scc_23_handoff_invariant,cuad,16,1,1,1,1,31879,5071,36950,25.420274257659912,False,False,False,False,0.6875,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/cost_audit_runs/clean_40case_gpt4o_b50_20260712/results/30_cuad16_scc_23_handoff_invariant__naive-single.json
SA-MCGS,medium,30_cuad16_scc_23_handoff_invariant,cuad,16,1,1,50,53,137455,87897,225352,543.7752530574799,False,True,True,True,0.5,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/cost_audit_runs/clean_40case_gpt4o_b50_20260712/results/30_cuad16_scc_23_handoff_invariant__sa-mcgs.json
GraphRAG-style LEA,medium,31_cuad14_scc_8_temporal_gate,cuad,14,1,1,14,14,32432,25392,57824,145.49898219108582,False,False,True,True,0.5,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/cost_audit_runs/clean_40case_gpt4o_b50_20260712/results/31_cuad14_scc_8_temporal_gate__lea.json
"Full-SCC Naive, single attempt",medium,31_cuad14_scc_8_temporal_gate,cuad,14,1,1,1,1,14569,4047,18616,23.885930061340332,False,False,True,False,0.7142857142857143,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/cost_audit_runs/clean_40case_gpt4o_b50_20260712/results/31_cuad14_scc_8_temporal_gate__naive-single.json
SA-MCGS,medium,31_cuad14_scc_8_temporal_gate,cuad,14,1,1,50,53,126338,94319,220657,531.2724840641022,False,True,True,True,0.5,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/cost_audit_runs/clean_40case_gpt4o_b50_20260712/results/31_cuad14_scc_8_temporal_gate__sa-mcgs.json
GraphRAG-style LEA,small,32_cuad12_scc_50_condition_trigger,cuad,12,1,1,12,12,25815,19896,45711,116.62318277359009,False,True,True,True,0.5,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/cost_audit_runs/clean_40case_gpt4o_b50_20260712/results/32_cuad12_scc_50_condition_trigger__lea.json
"Full-SCC Naive, single attempt",small,32_cuad12_scc_50_condition_trigger,cuad,12,1,1,1,1,10131,3637,13768,23.37096405029297,False,True,True,False,0.6666666666666667,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/cost_audit_runs/clean_40case_gpt4o_b50_20260712/results/32_cuad12_scc_50_condition_trigger__naive-single.json
SA-MCGS,small,32_cuad12_scc_50_condition_trigger,cuad,12,1,1,50,51,119632,85016,204648,518.5350890159607,False,True,True,True,0.5,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/cost_audit_runs/clean_40case_gpt4o_b50_20260712/results/32_cuad12_scc_50_condition_trigger__sa-mcgs.json
GraphRAG-style LEA,small,33_debian12_scc_8_handoff_invariant,debian,12,1,1,12,12,19585,9755,29340,79.72443222999573,False,False,True,True,0.5,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/cost_audit_runs/clean_40case_gpt4o_b50_20260712/results/33_debian12_scc_8_handoff_invariant__lea.json
"Full-SCC Naive, single attempt",small,33_debian12_scc_8_handoff_invariant,debian,12,1,1,1,1,4531,1934,6465,10.723449230194092,False,True,True,True,0.75,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/cost_audit_runs/clean_40case_gpt4o_b50_20260712/results/33_debian12_scc_8_handoff_invariant__naive-single.json
SA-MCGS,small,33_debian12_scc_8_handoff_invariant,debian,12,1,1,49,49,81633,37461,119094,398.406054019928,False,True,True,True,0.5,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/cost_audit_runs/clean_40case_gpt4o_b50_20260712/results/33_debian12_scc_8_handoff_invariant__sa-mcgs.json
GraphRAG-style LEA,medium,34_sec_ex2112_scc_4_temporal_gate,sec_ex21,18,1,1,18,18,19692,12888,32580,101.74529790878296,False,True,True,False,0.5,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/cost_audit_runs/clean_40case_gpt4o_b50_20260712/results/34_sec_ex2112_scc_4_temporal_gate__lea.json
"Full-SCC Naive, single attempt",medium,34_sec_ex2112_scc_4_temporal_gate,sec_ex21,18,1,1,1,1,6446,2565,9011,11.53616189956665,False,False,True,False,0.8333333333333334,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/cost_audit_runs/clean_40case_gpt4o_b50_20260712/results/34_sec_ex2112_scc_4_temporal_gate__naive-single.json
SA-MCGS,medium,34_sec_ex2112_scc_4_temporal_gate,sec_ex21,18,1,1,50,50,56361,38560,94921,309.6274530887604,False,True,True,True,0.5,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/cost_audit_runs/clean_40case_gpt4o_b50_20260712/results/34_sec_ex2112_scc_4_temporal_gate__sa-mcgs.json
SA-MCGS,small,35_bgb11_scc_0_condition_trigger,bgb,11,1,1,48,48,77695,41423,119118,351.80302596092224,False,True,True,True,0.5454545454545454,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/cost_audit_runs/clean_40case_gpt4o_b50_20260712/results/35_bgb11_scc_0_condition_trigger__sa-mcgs.json
