method,scale,case_id,domain,scc_size,case_concurrency,internal_concurrency,llm_calls,recorded_api_calls,prompt_tokens,completion_tokens,total_tokens,runtime_sec,invalid_output,root_at_3,risk_any,risk_all,compression,result_file
"Full-SCC Naive, single attempt",medium,27_cuad18_scc_6_handoff_invariant,cuad,18,1,1,1,1,62289,3497,65786,12.060289859771729,False,True,True,True,0.8333333333333334,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/cost_audit_runs/clean_40case_gemini25flash_b50_20260712/results/27_cuad18_scc_6_handoff_invariant__naive-single.json
SA-MCGS,medium,27_cuad18_scc_6_handoff_invariant,cuad,18,1,1,50,50,188374,48771,237145,279.2417688369751,False,True,True,True,0.6111111111111112,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/cost_audit_runs/clean_40case_gemini25flash_b50_20260712/results/27_cuad18_scc_6_handoff_invariant__sa-mcgs.json
GraphRAG-style LEA,small,28_sec_ex2118_scc_7_temporal_gate,sec_ex21,9,1,1,9,9,10416,4747,15163,24.5644588470459,False,True,True,True,0.4444444444444444,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/cost_audit_runs/clean_40case_gemini25flash_b50_20260712/results/28_sec_ex2118_scc_7_temporal_gate__lea.json
"Full-SCC Naive, single attempt",small,28_sec_ex2118_scc_7_temporal_gate,sec_ex21,9,1,1,1,1,1919,1342,3261,4.8035500049591064,False,True,True,True,0.6666666666666667,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/cost_audit_runs/clean_40case_gemini25flash_b50_20260712/results/28_sec_ex2118_scc_7_temporal_gate__naive-single.json
SA-MCGS,small,28_sec_ex2118_scc_7_temporal_gate,sec_ex21,9,1,1,44,44,52152,23418,75570,147.14412999153137,False,True,True,True,0.4444444444444444,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/cost_audit_runs/clean_40case_gemini25flash_b50_20260712/results/28_sec_ex2118_scc_7_temporal_gate__sa-mcgs.json
GraphRAG-style LEA,medium,29_cuad17_scc_0_condition_trigger,cuad,17,1,1,14,14,44780,11095,55875,57.455581188201904,False,True,True,True,0.5294117647058824,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/cost_audit_runs/clean_40case_gemini25flash_b50_20260712/results/29_cuad17_scc_0_condition_trigger__lea.json
"Full-SCC Naive, single attempt",medium,29_cuad17_scc_0_condition_trigger,cuad,17,1,1,1,1,26159,2450,28609,9.506183385848999,False,True,True,False,0.8823529411764706,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/cost_audit_runs/clean_40case_gemini25flash_b50_20260712/results/29_cuad17_scc_0_condition_trigger__naive-single.json
SA-MCGS,medium,29_cuad17_scc_0_condition_trigger,cuad,17,1,1,49,49,144587,40963,185550,190.82544207572937,False,True,True,True,0.5882352941176471,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/cost_audit_runs/clean_40case_gemini25flash_b50_20260712/results/29_cuad17_scc_0_condition_trigger__sa-mcgs.json
GraphRAG-style LEA,medium,30_cuad16_scc_23_handoff_invariant,cuad,16,1,1,13,13,45538,11176,56714,52.70080900192261,False,True,True,True,0.5,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/cost_audit_runs/clean_40case_gemini25flash_b50_20260712/results/30_cuad16_scc_23_handoff_invariant__lea.json
"Full-SCC Naive, single attempt",medium,30_cuad16_scc_23_handoff_invariant,cuad,16,1,1,1,1,35469,3761,39230,12.143123149871826,False,True,True,True,0.875,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/cost_audit_runs/clean_40case_gemini25flash_b50_20260712/results/30_cuad16_scc_23_handoff_invariant__naive-single.json
SA-MCGS,medium,30_cuad16_scc_23_handoff_invariant,cuad,16,1,1,44,44,146548,40071,186619,181.86445784568787,False,True,True,True,0.5,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/cost_audit_runs/clean_40case_gemini25flash_b50_20260712/results/30_cuad16_scc_23_handoff_invariant__sa-mcgs.json
GraphRAG-style LEA,medium,31_cuad14_scc_8_temporal_gate,cuad,14,1,1,14,14,41852,12966,54818,58.629887104034424,False,True,True,True,0.5,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/cost_audit_runs/clean_40case_gemini25flash_b50_20260712/results/31_cuad14_scc_8_temporal_gate__lea.json
"Full-SCC Naive, single attempt",medium,31_cuad14_scc_8_temporal_gate,cuad,14,1,1,1,1,17203,3530,20733,10.353374004364014,False,True,True,True,0.7857142857142857,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/cost_audit_runs/clean_40case_gemini25flash_b50_20260712/results/31_cuad14_scc_8_temporal_gate__naive-single.json
SA-MCGS,medium,31_cuad14_scc_8_temporal_gate,cuad,14,1,1,49,49,137570,44404,181974,207.4193091392517,False,True,True,True,0.5,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/cost_audit_runs/clean_40case_gemini25flash_b50_20260712/results/31_cuad14_scc_8_temporal_gate__sa-mcgs.json
GraphRAG-style LEA,small,32_cuad12_scc_50_condition_trigger,cuad,12,1,1,12,12,37849,11674,49523,56.46538233757019,False,True,True,True,0.5,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/cost_audit_runs/clean_40case_gemini25flash_b50_20260712/results/32_cuad12_scc_50_condition_trigger__lea.json
"Full-SCC Naive, single attempt",small,32_cuad12_scc_50_condition_trigger,cuad,12,1,1,1,1,13826,3380,17206,11.308826923370361,False,False,True,False,0.75,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/cost_audit_runs/clean_40case_gemini25flash_b50_20260712/results/32_cuad12_scc_50_condition_trigger__naive-single.json
SA-MCGS,small,32_cuad12_scc_50_condition_trigger,cuad,12,1,1,47,47,160416,45339,205755,220.1158151626587,False,True,True,True,0.5833333333333333,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/cost_audit_runs/clean_40case_gemini25flash_b50_20260712/results/32_cuad12_scc_50_condition_trigger__sa-mcgs.json
GraphRAG-style LEA,small,33_debian12_scc_8_handoff_invariant,debian,12,1,1,12,12,24349,6098,30447,33.745503187179565,False,False,True,False,0.5,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/cost_audit_runs/clean_40case_gemini25flash_b50_20260712/results/33_debian12_scc_8_handoff_invariant__lea.json
"Full-SCC Naive, single attempt",small,33_debian12_scc_8_handoff_invariant,debian,12,1,1,1,1,5186,1479,6665,8.156744241714478,False,True,True,True,0.6666666666666667,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/cost_audit_runs/clean_40case_gemini25flash_b50_20260712/results/33_debian12_scc_8_handoff_invariant__naive-single.json
SA-MCGS,small,33_debian12_scc_8_handoff_invariant,debian,12,1,1,44,44,94449,22336,116785,126.2963080406189,False,True,True,True,0.5,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/cost_audit_runs/clean_40case_gemini25flash_b50_20260712/results/33_debian12_scc_8_handoff_invariant__sa-mcgs.json
GraphRAG-style LEA,small,34_sec_ex2112_scc_4_temporal_gate,sec_ex21,11,1,1,8,8,12264,4602,16866,22.067930698394775,False,True,True,False,0.5454545454545454,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/cost_audit_runs/clean_40case_gemini25flash_b50_20260712/results/34_sec_ex2112_scc_4_temporal_gate__lea.json
"Full-SCC Naive, single attempt",small,34_sec_ex2112_scc_4_temporal_gate,sec_ex21,11,1,1,1,1,4832,1407,6239,7.438141822814941,False,True,True,True,0.7272727272727273,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/cost_audit_runs/clean_40case_gemini25flash_b50_20260712/results/34_sec_ex2112_scc_4_temporal_gate__naive-single.json
SA-MCGS,small,34_sec_ex2112_scc_4_temporal_gate,sec_ex21,11,1,1,50,50,79852,26404,106256,140.02520513534546,False,True,True,True,0.5454545454545454,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/cost_audit_runs/clean_40case_gemini25flash_b50_20260712/results/34_sec_ex2112_scc_4_temporal_gate__sa-mcgs.json
GraphRAG-style LEA,small,35_bgb11_scc_0_condition_trigger,bgb,11,1,1,11,11,22441,5676,28117,33.638036012649536,False,True,True,True,0.5454545454545454,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/cost_audit_runs/clean_40case_gemini25flash_b50_20260712/results/35_bgb11_scc_0_condition_trigger__lea.json
"Full-SCC Naive, single attempt",small,35_bgb11_scc_0_condition_trigger,bgb,11,1,1,1,1,5142,1637,6779,6.508228063583374,False,False,False,False,0.6363636363636364,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/cost_audit_runs/clean_40case_gemini25flash_b50_20260712/results/35_bgb11_scc_0_condition_trigger__naive-single.json
SA-MCGS,small,35_bgb11_scc_0_condition_trigger,bgb,11,1,1,45,45,94889,24512,119401,145.35564398765564,False,True,True,True,0.5454545454545454,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/cost_audit_runs/clean_40case_gemini25flash_b50_20260712/results/35_bgb11_scc_0_condition_trigger__sa-mcgs.json
GraphRAG-style LEA,small,36_debian11_scc_23_handoff_invariant,debian,11,1,1,10,10,19389,4807,24196,25.669341325759888,False,False,True,True,0.5454545454545454,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/cost_audit_runs/clean_40case_gemini25flash_b50_20260712/results/36_debian11_scc_23_handoff_invariant__lea.json
"Full-SCC Naive, single attempt",small,36_debian11_scc_23_handoff_invariant,debian,11,1,1,1,1,4457,1379,5836,5.253126859664917,False,True,True,True,0.7272727272727273,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/cost_audit_runs/clean_40case_gemini25flash_b50_20260712/results/36_debian11_scc_23_handoff_invariant__naive-single.json
SA-MCGS,small,36_debian11_scc_23_handoff_invariant,debian,11,1,1,45,45,95741,22581,118322,128.8082890510559,False,True,True,True,0.5454545454545454,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/cost_audit_runs/clean_40case_gemini25flash_b50_20260712/results/36_debian11_scc_23_handoff_invariant__sa-mcgs.json
GraphRAG-style LEA,medium,37_sec_ex2111_scc_1_temporal_gate,sec_ex21,18,1,1,18,18,27157,9302,36459,47.41991400718689,False,True,True,True,0.5,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/cost_audit_runs/clean_40case_gemini25flash_b50_20260712/results/37_sec_ex2111_scc_1_temporal_gate__lea.json
"Full-SCC Naive, single attempt",medium,37_sec_ex2111_scc_1_temporal_gate,sec_ex21,18,1,1,1,1,7566,1618,9184,6.289293050765991,False,True,True,False,0.7777777777777778,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/cost_audit_runs/clean_40case_gemini25flash_b50_20260712/results/37_sec_ex2111_scc_1_temporal_gate__naive-single.json
SA-MCGS,medium,37_sec_ex2111_scc_1_temporal_gate,sec_ex21,18,1,1,50,50,77431,26359,103790,145.43340706825256,False,True,True,True,0.5,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/cost_audit_runs/clean_40case_gemini25flash_b50_20260712/results/37_sec_ex2111_scc_1_temporal_gate__sa-mcgs.json
GraphRAG-style LEA,small,38_sec_ex2110_scc_2_condition_trigger,sec_ex21,10,1,1,10,10,11463,5347,16810,26.96689796447754,False,True,True,True,0.5,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/cost_audit_runs/clean_40case_gemini25flash_b50_20260712/results/38_sec_ex2110_scc_2_condition_trigger__lea.json
"Full-SCC Naive, single attempt",small,38_sec_ex2110_scc_2_condition_trigger,sec_ex21,10,1,1,1,1,1993,1341,3334,4.762193918228149,False,True,True,True,0.8,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/cost_audit_runs/clean_40case_gemini25flash_b50_20260712/results/38_sec_ex2110_scc_2_condition_trigger__naive-single.json
SA-MCGS,small,38_sec_ex2110_scc_2_condition_trigger,sec_ex21,10,1,1,41,41,48282,22167,70449,116.36574792861938,False,True,True,True,0.5,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/cost_audit_runs/clean_40case_gemini25flash_b50_20260712/results/38_sec_ex2110_scc_2_condition_trigger__sa-mcgs.json
GraphRAG-style LEA,small,39_bgb9_scc_7_handoff_invariant,bgb,9,1,1,9,9,27443,4794,32237,31.532641172409058,False,True,True,False,0.4444444444444444,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/cost_audit_runs/clean_40case_gemini25flash_b50_20260712/results/39_bgb9_scc_7_handoff_invariant__lea.json
"Full-SCC Naive, single attempt",small,39_bgb9_scc_7_handoff_invariant,bgb,9,1,1,1,1,6525,1431,7956,6.530612945556641,False,True,True,False,0.6666666666666667,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/cost_audit_runs/clean_40case_gemini25flash_b50_20260712/results/39_bgb9_scc_7_handoff_invariant__naive-single.json
SA-MCGS,small,39_bgb9_scc_7_handoff_invariant,bgb,9,1,1,42,42,131572,22642,154214,128.57513570785522,False,True,True,True,0.4444444444444444,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/cost_audit_runs/clean_40case_gemini25flash_b50_20260712/results/39_bgb9_scc_7_handoff_invariant__sa-mcgs.json
GraphRAG-style LEA,medium,40_sec_ex219_scc_1_temporal_gate,sec_ex21,18,1,1,18,18,27157,9520,36677,55.30829405784607,False,True,True,True,0.5,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/cost_audit_runs/clean_40case_gemini25flash_b50_20260712/results/40_sec_ex219_scc_1_temporal_gate__lea.json
"Full-SCC Naive, single attempt",medium,40_sec_ex219_scc_1_temporal_gate,sec_ex21,18,1,1,1,1,7566,2085,9651,10.576303958892822,False,True,True,True,0.7777777777777778,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/cost_audit_runs/clean_40case_gemini25flash_b50_20260712/results/40_sec_ex219_scc_1_temporal_gate__naive-single.json
SA-MCGS,medium,40_sec_ex219_scc_1_temporal_gate,sec_ex21,18,1,1,48,48,71209,25593,96802,150.72827196121216,False,True,True,True,0.5,/Users/chenlong/WorkSpace/MCGS_Law/emnlp2026_discussion/cost_audit_runs/clean_40case_gemini25flash_b50_20260712/results/40_sec_ex219_scc_1_temporal_gate__sa-mcgs.json
